id,user,location,geo_enabled,geo,coordinates,text,created_at
1469751303651958800,16471461,"Mill Valley, CA",True,"{'type': 'Point', 'coordinates': [37.90611111, -122.545]}","{'type': 'Point', 'coordinates': [-122.545, 37.90611111]}","I have spent the entire morning wearing 2 different shoes!!! 🤣@nike #dork 🤦🏻‍♀️ #cantmakethisshitup @ Mill Valley, California https://t.co/PfoVfDtkc4",Sat Dec 11 19:29:52 +0000 2021
1469761575602978800,40960244,"Long Beach, CA",True,"{'type': 'Point', 'coordinates': [33.6044632, -117.80371881]}","{'type': 'Point', 'coordinates': [-117.80371881, 33.6044632]}",Awesome miles on the El Moro trails with the @arunningexperienceclub crew.  Excited for @keirahenninger ‘s Paramount Trail races next weekend👍. @lululemon @hoka @nathansportsinc @spring_energy https://t.co/FPrAafA2n3,Sat Dec 11 20:10:41 +0000 2021
1469790605450612700,1249879330722918400,"Lithonia, GA",True,"{'type': 'Point', 'coordinates': [33.7127, -84.1059]}","{'type': 'Point', 'coordinates': [-84.1059, 33.7127]}","#ClarenceClausXAdidas #BryceMelvin @adidas are y’all looking for a new baby model/brand ambassador?!😃 @ Lithonia, Georgia https://t.co/oh28mnifz1",Sat Dec 11 22:06:02 +0000 2021
1470203580703330300,123015839,Chicago and Beyond,True,"{'type': 'Point', 'coordinates': [41.88046793, -87.62614846]}","{'type': 'Point', 'coordinates': [-87.62614846, 41.88046793]}",#brighterdays #orange #trim @nike #puffer @madhappy #trucker #cap @rayban #sunglasses @chanel #red #boybag 📷 @credstyle #streetstyle #streetphotography #streetwear https://t.co/V2QHfZsotY #fashion @ Chicago Downtown https://t.co/5uOePmcgvo,Mon Dec 13 01:27:03 +0000 2021
1470239929645023200,116020527,"Huntington Beach, CA",True,"{'type': 'Point', 'coordinates': [40.7779, -73.9675]}","{'type': 'Point', 'coordinates': [-73.9675, 40.7779]}","💚💚 @nike @ Manhattan, New York https://t.co/9bOzTqsxfa",Mon Dec 13 03:51:29 +0000 2021
1470636195105312800,307884120,"Los Angeles, CA",True,"{'type': 'Point', 'coordinates': [34.09007072, -117.29219098]}","{'type': 'Point', 'coordinates': [-117.29219098, 34.09007072]}","All I Can Say is YE 🔥🪐

(A lot of 🐐 Collaborations this Weekend)🧥 - @kajo.png 
👕- @realdropicana 
👖 - @mvarchives 
👟- @nike @ Rolling Loud https://t.co/zhXh7IMPQk",Tue Dec 14 06:06:06 +0000 2021
1470939606212358100,1130632247151910900,"Memphis, TN",True,"{'type': 'Point', 'coordinates': [33.7566, -84.3889]}","{'type': 'Point', 'coordinates': [-84.3889, 33.7566]}","Rocking my @adidas set 😝🤟🏽 @ Atlanta, Georgia https://t.co/CEVSMYOFWJ",Wed Dec 15 02:11:45 +0000 2021
1471032270035300400,81664151,"TRIPLE D, AMERICA",True,"{'type': 'Point', 'coordinates': [32.7774, -96.7977]}","{'type': 'Point', 'coordinates': [-96.7977, 32.7774]}","#MillCityLieutenant OUT NOW!! #BenJis video comin soon.. #MillCityFlo visual out now!! @dgk @guess @aeropostale @nike @herschelsupply @psdunderwear @ Dallas, Texas https://t.co/kOBuqNnPsk",Wed Dec 15 08:19:58 +0000 2021
1471237275765907500,4342086981,"St Charles, MO",True,"{'type': 'Point', 'coordinates': [38.6272, -90.1978]}","{'type': 'Point', 'coordinates': [-90.1978, 38.6272]}","#cjemedia #nike #airmax #tiedye 
-
—
Made this a few months ago, might tie dye one of my other @nike sweats @ St. Louis, Missouri https://t.co/QmofdZHOjG",Wed Dec 15 21:54:35 +0000 2021
1471329760987000800,32739519,"Philadelphia, PA",True,"{'type': 'Point', 'coordinates': [39.9527, -75.1651]}","{'type': 'Point', 'coordinates': [-75.1651, 39.9527]}","Jordan 1 #snkrskickcheck #sneakerheads #sneakers #kicks #moto #motorcycle #bikelife #biker #latino @nike @nikesb #phillystyle #youngboss @ Philadelphia, Pennsylvania https://t.co/kSrSGKsi1B",Thu Dec 16 04:02:05 +0000 2021
